Region,Total,Male,Female
KARAMERI,"2,220","1,044","1,176"
KODICH,"1,162",578,584
KRUMTI,"1,614",792,822
KOPULIO,"16,271","8,076","8,195"
KANYERUS,"2,897","1,553","1,344"
KOPULIO,"5,543","2,782","2,761"
NAKUYEN,"7,831","3,741","4,090"
LOKICHAR,"7,903","3,775","4,128"
KALEMGOROK,"2,992","1,458","1,534"
LOKICHAR,"2,409","1,126","1,283"
OROLWO,"2,502","1,191","1,311"
SUAM,"13,829","6,575","7,253"
ASILONG,"3,436","1,628","1,808"
KACHELIBA,"4,199","2,098","2,101"
KARON,"4,368","2,011","2,357"
NGENGECHWO,"1,826",838,987
KASEI,"21,308","10,098","11,210"
KAPTOLOMWO,"6,464","3,038","3,426"
KAMUNONO,"2,908","1,388","1,520"
KAPTOLOMWO,"1,840",866,974
KOUR,813,345,468
OMPLION,903,439,464
KASEI,"9,826","4,674","5,152"
KAMKETO,"3,542","1,716","1,826"
KASEI,"2,172","1,020","1,152"
KORKOU,"4,112","1,938","2,174"
KORPU,"5,018","2,386","2,632"
CHEPKONDOL,989,485,504
KACHAWA,"1,525",726,799
KORPU,"1,089",536,553
SIRWACH,716,323,393
SONGOK,699,316,383
KIWAWA,"19,631","9,343","10,288"
CHELOPOY,"7,154","3,476","3,678"
CHELOPOY,"2,951","1,464","1,487"
KATUDA,876,431,445
KAURIONG,789,373,416
SINCHOLOL,"1,559",751,808
WASAT,979,457,522
KASES,"4,455","2,076","2,379"
KASES,"2,050",922,"1,128"
MELEE,"1,605",772,833
PCHOLIO,800,382,418
KIWAWA,"3,986","1,930","2,056"
KATUMKALE,899,428,471
KIWAWA,"2,387","1,179","1,208"
NATEMERI,700,323,377
LOPET,"4,036","1,861","2,175"
CHEPROPOGH,725,314,411
LOPET,"1,317",642,675
MBARU,"1,075",497,578
NGASWA,919,408,511
KONYAO,"13,678","6,537","7,140"
KAPCHOK,"7,735","3,665","4,070"
KAMENCHWA,815,390,425
KONYAO,"5,269","2,495","2,774"
KOPEYON,626,310,316
NAPITIRO,"1,025",470,555
LOSAM,"5,943","2,872","3,070"
KAPIYEN,"1,388",652,736
KODULEM,"1,880",910,970
LEYO,"1,311",638,673
LOSAM,"1,364",672,691
POKOT SOUTH,"80,661","39,808","40,851"
KAPTABUK,"21,392","10,688","10,703"
KAPTABUK,"12,967","6,485","6,482"
CHEPARTEN,"2,058","1,041","1,017"
KAPSANGAR,"1,649",828,821
KAPTABUK,"3,709","1,828","1,881"
PLALANG,"1,812",894,918
PSUKUNO,"2,390","1,213","1,177"
SARAMEE,"1,349",681,668
MOKOYON,"8,425","4,203","4,221"
KAPKUNYUK,"2,147","1,085","1,062"
MESHAU,"2,607","1,307","1,300"
MOKOYON,"3,671","1,811","1,859"
LELAN,"23,127","11,558","11,568"
KAALOTWARI,"5,960","3,002","2,958"
KAALOTWARI,"1,508",777,731
MANIAN,931,455,476
SIMOTWO,"3,521","1,770","1,751"
KAPYONGEN,"6,026","3,019","3,007"
CHEPKONO,"1,305",634,671
KSAI,"2,263","1,136","1,127"
TONOYON,"2,458","1,249","1,209"
LELAN,"11,141","5,537","5,603"
CHESUPET,"2,245","1,141","1,104"
CHOROK,"1,067",523,544
KABICHBICH,"1,810",905,905
KAPKANYAR,"1,471",713,758
KAPSAIT,"2,028","1,023","1,005"
MBAYAI,"2,520","1,232","1,287"
TAPACH,"36,081","17,503","18,578"
CHEBON,"12,259","5,943","6,316"
CHEBON,"2,080","1,020","1,060"
PTOP,"2,762","1,323","1,439"
SINA,"2,828","1,342","1,486"
TANGASIA,"3,352","1,651","1,701"
TELO,"1,237",607,630
PARAYON,"9,573","4,606","4,967"
KACHERIAN,"3,398","1,651","1,747"
KALE,"4,927","2,330","2,597"
NYARPAT,"1,248",625,623
SONDANY,"4,965","2,382","2,583"
CHONGIS,"1,649",788,861
NYARKULIAN,"3,316","1,594","1,722"
TAPACH,"9,284","4,572","4,712"
KAMELEI,"2,467","1,221","1,246"
KAPUSIEN,"1,450",756,694
KOKWOPSIS,"1,628",781,847
SOPOWEN,"1,267",585,682
TAPACH,"2,472","1,229","1,243"
CHERANGANY FOREST,61,59,2
CHERANGANY FOREST,61,59,2
CHERANGANY FOREST,61,59,2
WEST POKOT,"184,446","91,820","92,626"
ENDUGH,"25,549","12,723","12,826"
CHEWARANY,"2,491","1,228","1,263"
CHEWARANY,"2,491","1,228","1,263"
ENDUGH,"6,212","3,112","3,100"
CHEPTRAM,"2,876","1,394","1,482"
KRIICH,"3,336","1,718","1,618"
KASITEI,"2,997","1,455","1,542"
CHEPOKACHIM,"1,069",508,561
KASITEI,"1,928",947,981
NAKWIJIT,"4,006","1,977","2,029"
MERUR,744,327,417
NAKWIJIT,"1,038",510,528
RUKEY,713,370,343
TAMARUKWO,742,369,373
TUNOYO,769,401,368
PTOYO,"9,843","4,951","4,892"
KESOT,"3,577","1,794","1,783"
KETIAM,"3,752","1,895","1,857"
PTOYO,"2,514","1,262","1,252"
KANYARKWAT,"13,115","6,520","6,595"
KACHEMUKOT,"2,324","1,124","1,200"
KRESWO,"2,324","1,124","1,200"
KANYARKWAT,"10,791","5,396","5,395"
ADURKOIT,"1,788",868,920
KAKORURON,"1,224",599,625
KANYARKWAT,"3,556","1,785","1,771"
KATIKOMOR,"4,223","2,144","2,079"
KAPENGURIA,"40,751","20,650","20,101"
KAIBOS,"4,985","2,739","2,246"
KAIBOS,"1,980",984,996
KAPKATET,"1,187",611,576
KIPKORINYA,"1,818","1,144",674
KAISAKAT,"9,530","4,867","4,663"
KAPCHILLA,"2,364","1,188","1,176"
PARAYWA,"1,193",626,567
SIYOI,"5,973","3,053","2,920"
KAPENGURIA,"19,847","9,794","10,053"
CHEWOYET,"7,129","3,525","3,604"
KAMATIRA,"3,757","1,929","1,828"
MWOTOT,"8,961","4,340","4,621"
TALAU,"6,389","3,250","3,139"
CHEPKOTI,"2,761","1,387","1,374"
KAPSURUM,"2,771","1,417","1,354"
TALAU,857,446,411
KONGELAI,"16,847","8,319","8,528"
KITELAKAPEL,"3,652","1,787","1,865"
CHELOKOKETWO,504,263,241
KITELAKAPEL,"2,300","1,100","1,200"
POOLE,848,424,424
KONGELAI,"3,569","1,775","1,794"
SIMATWA,"3,569","1,775","1,794"
RIWO,"3,691","1,796","1,895"
KONGELAI,"2,887","1,397","1,490"
LOKUYII,804,399,405
SEREWO,"5,935","2,961","2,974"
CHEPKRAM,965,495,470
KAMAYECH,"1,967",989,978
MTEMBUR,"1,820",918,902
SEREWO,"1,183",559,624
MISKWONY,"10,651","5,070","5,581"
EMBOASIS,"1,888",912,976
EMBOASIS,"1,888",912,976
KALEMNYANG,"2,624","1,231","1,393"
CHESIRA,"1,237",616,621
KALEMNYANG,"1,387",615,772
MISKWONY,"6,139","2,927","3,212"
CHEMAKEU,"3,118","1,454","1,664"
LOKNA,"1,651",795,856
MISKWONY,"1,370",678,692
MNAGEI,"60,076","29,825","30,251"
CHEMWOCHOI,"4,877","2,382","2,495"
CHEPKECHIR,794,391,403
KOMOL,"1,639",826,813
NGOLEYO,"1,046",514,532
NARAMAN,"1,398",651,747
KAPKORIS,"13,835","6,848","6,987"
CHEMWOCHOI,"6,041","2,928","3,113"
KAPROM,"3,628","1,822","1,806"
TILAK,"4,166","2,098","2,068"
KERINGET,"4,014","1,981","2,033"
CHEPTUYA,"2,838","1,417","1,421"
LOKORNOI,691,326,365
MORTOME,485,238,247
KISHAUNET,"19,105","9,538","9,567"
KISHAUNET,"7,087","3,608","3,479"
LITYEI,"9,057","4,466","4,591"
SUKUT,"2,961","1,464","1,497"
MNAGEI,"18,245","9,076","9,169"
KERINGET,"5,637","2,736","2,901"
PSIGIRIO,"8,797","4,400","4,397"
TARTAR,"3,811","1,940","1,871"
SOOK,"17,457","8,713","8,744"
CHEKOMOS,"4,518","2,236","2,282"
CHEKOMOS,889,415,474
KOCHAR,935,495,440
PSAPAI,"1,066",543,523
SIMAT,680,328,352
TOMPUL,948,455,493
SOOK,"5,274","2,614","2,660"
CHEPNYAL,"2,543","1,254","1,289"
MUNGIT,"1,585",797,788
TINDAR,"1,146",563,583
TAMUGH,"7,665","3,863","3,802"
KOLO,"2,857","1,430","1,427"
LETWA,"2,217","1,157","1,060"
TAMUGH,"2,591","1,276","1,315"
SAMBURU,"310,327","156,774","153,546"
SAMBURU CENTRAL,"164,942","83,633","81,307"
KIRISIA,"69,973","35,342","34,631"
BARSALOI,"4,385","2,262","2,123"
BARSALOI,"1,901",972,929
LULU,"1,287",665,622
SOIT NAIBOR,"1,197",625,572
LBUKOI,"3,481","1,677","1,804"
LBUKOI,"1,274",586,688
MORU,"2,207","1,091","1,116"
MARALAL,"49,452","25,101","24,351"
LEDERO,"1,506",749,757
LKUROTO,"3,072","1,581","1,491"
LPARTUK,"4,805","2,412","2,393"
MARALAL,"16,602","8,368","8,234"
MILIMANI,"7,209","3,702","3,507"
NGARI,"7,285","3,784","3,501"
SHABAA,"8,973","4,505","4,468"
OPIROI,"7,898","3,932","3,966"
LORROK-LOLMONGO,"1,613",797,816
MABATI,"1,778",882,896
OPIROI,"4,507","2,253","2,254"
SIRATA OIROBI,"4,757","2,370","2,387"
LEMISIGIYOI,"1,926",964,962
NGENJUEMUNY,"1,275",658,617
SIRATA OIROBI,"1,556",748,808
LORROKI,"58,271","29,356","28,914"
AMAYA,"7,583","3,878","3,704"
LONGEWAN,"3,032","1,522","1,510"
AMAIYA/MUKEKAMAR,"2,699","1,435","1,263"
NASUR,"1,852",921,931
BAAWA,"9,777","4,865","4,912"
BAAWA,"3,348","1,629","1,719"
LKILORITI,"2,601","1,300","1,301"
NAUNERI,"3,828","1,936","1,892"
KIRIMON,"7,407","3,830","3,577"
GARMA,"2,116","1,079","1,037"
KIRIMON,"2,767","1,491","1,276"
MUGUR,"2,524","1,260","1,264"
KISIMA,"8,049","3,936","4,113"
LAANGATOLIA,"3,483","1,737","1,746"
LMISIGIYIOI,"1,765",841,924
MBARINGON,"2,801","1,358","1,443"
LODOKEJEK,"8,211","4,018","4,193"
LODOKEJEK,"6,603","3,248","3,355"
NONKEEK,"1,608",770,838
SUGUTA MARMAR,"17,244","8,829","8,415"
LOGORATE,"3,707","1,949","1,758"
LOLMOLOK,"7,842","4,104","3,738"
SUGUTA MARMAR,"5,695","2,776","2,919"
MALASO,"36,698","18,935","17,762"
ANGATA NANYOKIE,"8,826","4,595","4,231"
ANGATA NANYOKIE,"2,056","1,056","1,000"
LOIBASHAI,"1,609",837,772
MORIJO,"5,161","2,702","2,459"
PORO,"9,617","4,855","4,762"
LPOROKWAI/MALASO,"1,947","1,001",946
MUGUR,"1,705",866,839
SEKETET,"3,582","1,761","1,821"
SIAMBU,"2,383","1,227","1,156"
LOOSUK,"18,255","9,485","8,769"
LOOSUK,"4,570","2,261","2,309"
MALASO,"2,738","1,419","1,319"
PURA,"3,581","1,963","1,618"
TINGA,"7,366","3,842","3,523"
SAMBURU EAST,"77,994","38,211","39,782"
SEREOLIPI,"7,252","3,555","3,697"
NDONYO WASIN,"4,296","2,111","2,185"
NDONYO WASIN,"4,296","2,111","2,185"
SEREOLIPI,"2,956","1,444","1,512"
SEREOLIPI,"2,956","1,444","1,512"
WAMBA,"52,145","25,536","26,609"
KOITING,"4,659","2,413","2,246"
KOITING,"3,305","1,789","1,516"
LPASHIE,"1,354",624,730
LODUNGOKWE,"6,649","3,186","3,463"
LENGEI,"1,459",688,771
LPUSS,"1,234",609,625
LTIRIMIN,"1,414",721,693
SESIA,"2,542","1,168","1,374"
NAIRIMIRIMO,"9,853","4,791","5,062"
LMARMARIO,"1,585",731,854
LOROK ONYOKIEA,"2,464","1,138","1,326"
RARAITI,"1,175",590,585
SUARI,"4,629","2,332","2,297"
NGILAI CENTRAL,"4,890","2,465","2,425"
NGILAI CENTRAL,"4,890","2,465","2,425"
NGILAI WEST,"5,357","2,640","2,717"
GOLGOTIM,"2,877","1,444","1,433"
LKISIN,"2,480","1,196","1,284"
NKARE NAROK,"3,289","1,627","1,662"
NKARE NAROK,"3,289","1,627","1,662"
NKARONI,"5,848","2,598","3,250"
NKARONI,"2,475","1,045","1,430"
RESIM,"1,675",802,873
SILANGO NANYEKIE,"1,698",751,947
WAMBA,"11,600","5,816","5,784"
MATAKWANI,"3,900","1,954","1,946"
WAMBA,"7,700","3,862","3,838"
WASO,"18,597","9,120","9,476"
WASO EAST,"10,357","5,187","5,170"
ARCHERS POST,"7,957","3,921","4,036"
LARESORO,"1,256",591,665
LOSESIA,"1,144",675,469
WASO WEST,"8,240","3,933","4,306"
LENGUSAKA,"1,094",513,581
LERATA,"1,057",520,537
LPUS LELUAI,"3,191","1,464","1,726"
NGUTUK ONGIRON,"1,536",827,709
REMOT,"1,362",609,753
SAMBURU NORTH,"67,391","34,930","32,457"
BARAGOI,"43,222","22,538","20,681"
BARAGOI,"8,299","4,037","4,262"
BARAGOI,"4,542","2,227","2,315"
BENDERA,"1,746",867,879
NALINGANGOR,"2,011",943,"1,068"
EL-BARTA,"7,317","3,959","3,358"
MASIKITA,"2,963","1,536","1,427"
NGILAI,"4,354","2,423","1,931"
LATAKWENY,"8,153","3,977","4,175"
LATAKWENY,"2,384","1,152","1,232"
LOIKUMKUM,"5,769","2,825","2,943"
MARTI,"2,821","1,470","1,350"
KALELE,"1,516",721,794
LOKORKOR,784,451,333
MORUAKIRING,521,298,223
NACHOLA,"6,046","3,680","2,365"
NACHOLA,"2,450","1,518",932
NAKUPURAT,"2,010","1,246",764
TERTER,"1,586",916,669
NDOTO,"8,949","4,503","4,446"
LESIRIKAN,"3,563","1,803","1,760"
LOODUA,"3,920","2,022","1,898"
SEREN,"1,466",678,788
SUYAN,"1,637",912,725
MARTI,829,536,293
SUYAN,808,376,432
NYIRO,"24,169","12,392","11,776"
ARSIM,"3,262","1,568","1,694"
ARSIM,"1,511",743,768
ILLAUT,"1,207",583,624
NGURUNIT,544,242,302
KAWOP,"6,580","3,394","3,186"
LONYANGATEN,"4,168","2,058","2,110"
LOSURKOI,"1,217",682,535
NAKWEEI,"1,195",654,541
PARKATI,"1,346",818,528
PARKATI,"1,115",590,525
LKAYO,231,228,3
SOUTH HORR,"6,711","3,258","3,453"
LOONJORIN,"1,907",961,946
SOUTH HORR,"4,804","2,297","2,507"
TUUM,"2,707","1,351","1,356"
EJUK,768,390,378
TUUM,"1,939",961,978
WASO RONGAI,"3,563","2,003","1,559"
LKOTIKAL,852,474,378
SIMALE,"1,183",688,494
WASO RONGAI,"1,528",841,687
TRANS NZOIA,"990,341","489,107","501,206"
TRANS NZOIA WEST,"202,377","101,198","101,174"
SABOTI,"66,656","33,074","33,582"
SABOTI,"27,595","13,623","13,972"
SABOTI,"27,595","13,623","13,972"
KIBOROA,"16,614","8,417","8,197"
KIBOROA,"16,614","8,417","8,197"
MACHEWA,"22,447","11,034","11,413"
MACHEWA,"22,447","11,034","11,413"
KINYORO,"49,648","24,546","25,099"
KISAWAI,"15,209","7,456","7,752"
TELDET,"15,209","7,456","7,752"
KINYORO,"34,439","17,090","17,347"
KINYORO,"13,394","6,641","6,752"
KIPYOYWAN,"21,045","10,449","10,595"
CENTRAL,"86,073","43,578","42,493"
TUWAN,"30,267","15,006","15,261"
TUWAN,"30,267","15,006","15,261"
MUNICIPALITY,"14,965","7,825","7,140"
KIPSONGOK,"4,831","2,736","2,095"
BONDENI,"10,134","5,089","5,045"
GRASSLAND,"8,225","4,502","3,723"
GRASSLAND,"8,225","4,502","3,723"
MATISI,"32,616","16,245","16,369"
MATISI,"26,142","13,019","13,121"
RAFIKI,"6,474","3,226","3,248"
TRANS NZOIA EAST,"229,538","113,498","116,029"
KAPLAMAI,"137,761","68,147","69,605"
KAPLAMAI,"28,011","13,778","14,233"
KARARA,"11,394","5,612","5,782"
KIMOSON,"16,617","8,166","8,451"
MOTOSIET,"25,595","12,541","13,054"
MOTOSIET,"25,595","12,541","13,054"
MAKUTANO,"21,950","10,944","11,005"
KAPSARA,"6,930","3,503","3,426"
BIRBIRIET,"8,812","4,339","4,473"
KAPOLET,"6,208","3,102","3,106"
MICHAI,"15,963","7,959","8,003"
MICHAI,"7,557","3,786","3,771"
MAKINDU,"8,406","4,173","4,232"
SITATUNGA,"31,725","15,753","15,966"
SITATUNGA,"31,725","15,753","15,966"
SINYERERE,"14,517","7,172","7,344"
SINYERERE,"6,765","3,361","3,403"
KIPSAINA,"7,752","3,811","3,941"
CHERANGANY,"91,777","45,351","46,424"
CHERANGANY,"28,907","14,286","14,621"
KACHIBORA,"15,365","7,477","7,888"
NZOIA,"13,542","6,809","6,733"
CHEPSIRO,"21,370","10,596","10,774"
KIBUSWA,"12,031","5,956","6,075"
KAPSIGILAI,"9,339","4,640","4,699"
SUWERWA,"15,114","7,493","7,619"
KAPTERIT,"6,064","3,038","3,025"
KAPTUMBO,"5,473","2,683","2,789"
KAPKARWA,"3,577","1,772","1,805"
MILIMANI,"14,488","7,235","7,253"
MILIMANI,"8,629","4,308","4,321"
KIPTOI,"5,859","2,927","2,932"
KIPTOROR,"11,898","5,741","6,157"
TOP SUWERWA,"4,911","2,383","2,528"
GETA,"6,987","3,358","3,629"
KWANZA,"203,821","100,234","103,584"
KWANZA,"203,821","100,234","103,584"
KWANZA,"44,110","21,640","22,468"
KWANZA,"29,849","14,741","15,106"
KEIYO,"14,261","6,899","7,362"
KAPSITWET,"13,258","6,512","6,746"
KAPSITWET,"4,530","2,256","2,274"
LIYAVO,"8,728","4,256","4,472"
KAPOMBOI,"59,351","29,202","30,149"
KAPOMBOI,"15,501","7,674","7,827"
KAPKOI,"13,756","6,772","6,984"
KOLONGOLO,"13,318","6,478","6,840"
KOBOS,"16,776","8,278","8,498"
BIDII,"29,781","14,597","15,184"
BIDII,"29,781","14,597","15,184"
KAISAGAT,"34,837","17,071","17,765"
KAISAGAT,"9,552","4,749","4,803"
AMUKA,"18,685","9,108","9,576"
KARAUS,"6,600","3,214","3,386"
NAMANJALALA,"22,484","11,212","11,272"
NAMANJALALA,"22,484","11,212","11,272"
ENDEBESS,"111,782","56,090","55,689"
ENDEBESS,"111,782","56,090","55,689"
ENDEBESS,"24,716","12,290","12,424"
ENDEBESS,"10,979","5,389","5,590"
CHORLIM,"13,737","6,901","6,834"
KAIBEI,"39,736","19,956","19,779"
MATUMBEI,"19,973","9,982","9,990"
MUBERE,"19,763","9,974","9,789"
CHEPCHOINA,"47,330","23,844","23,486"
KAPTEGA,"15,956","8,125","7,831"
KIPTOGOT,"11,163","5,670","5,493"
TWIGA,"20,211","10,049","10,162"
KIMININI,"242,823","118,087","124,730"
KIMININI,"120,144","58,280","61,862"
SIKHENDU,"16,662","8,085","8,576"
SIKHENDU,"16,662","8,085","8,576"
BARATON,"38,462","18,675","19,787"
BARATON,"38,462","18,675","19,787"
MATUNDA,"19,995","9,744","10,251"
MATUNDA,"19,995","9,744","10,251"
WEONIA,"17,114","8,295","8,818"
WEONIA,"17,114","8,295","8,818"
KIMININI,"27,911","13,481","14,430"
KIMININI,"15,118","7,367","7,751"
NABISWA,"12,793","6,114","6,679"
WAITALUK,"122,679","59,807","62,868"
MABONDE,"30,130","14,820","15,310"
MABONDE,"30,130","14,820","15,310"
WAITALUK,"24,386","11,936","12,449"
KAPKOI SISAL,"24,386","11,936","12,449"
SIRENDE,"28,356","13,835","14,521"
SIRENDE,"28,356","13,835","14,521"
KIBOMET,"23,902","11,470","12,432"
NAISAMBU,"23,902","11,470","12,432"
MILIMANI,"15,905","7,746","8,156"
MILIMANI,"15,905","7,746","8,156"
UASIN GISHU,"1,163,186","580,269","582,889"
AINABKOI,"138,184","68,348","69,835"
AINABKOI,"138,143","68,326","69,816"
AINABKOI,"7,289","3,737","3,552"
KAPSENGWET,"4,774","2,457","2,317"
NDANAI,"2,515","1,280","1,235"
CHEPKERO,"10,440","5,193","5,247"
CHEPKERO,"4,219","2,082","2,137"
KAPSUNDEI,"6,221","3,111","3,110"
CHEPNGOROR,"7,329","3,687","3,642"
CHEPNGOROR,"1,529",786,743
KOILUGET,"3,899","1,967","1,932"
TINGWA,"1,901",934,967
KAPNGETUNY,"2,904","1,534","1,370"
KAPNGETUNY,"1,842",993,849
SILIBOI,"1,062",541,521
KAPSOYA,"54,827","26,565","28,261"
KAPSOYA,"54,827","26,565","28,261"
KAPTAGAT,"15,472","7,647","7,825"
LOTONYOK,"9,733","4,751","4,982"
TENDWO,"5,739","2,896","2,843"
KIPKABUS,"9,422","4,676","4,746"
KAPLELACH,"5,198","2,606","2,592"
SONGICH,"2,195","1,067","1,128"
TILOL,"2,029","1,003","1,026"
KIPSINENDE,"10,512","5,283","5,229"
CHEPTIGIT,"3,623","1,826","1,797"
KIPSINENDE,"1,679",825,854
KONGASIS,"5,210","2,632","2,578"
OLARE,"13,420","6,724","6,696"
BURNT FOREST,"4,720","2,407","2,313"
KAPKENO,"8,700","4,317","4,383"
PLATEAU,"6,528","3,280","3,248"
CHEPKONGONY,"4,502","2,251","2,251"
CHESOGOR,"2,026","1,029",997
AINABKOI FOREST,41,22,19
AINABKOI FOREST,41,22,19
AINABKOI FOREST,41,22,19
KAPSERET,"198,499","99,650","98,845"
KAPSERET,"198,499","99,650","98,845"
KAPSERET,"28,575","14,254","14,321"
CHEPKATET,"14,795","7,395","7,400"
LEMOOK,"13,780","6,859","6,921"
NGERIA,"25,213","12,499","12,713"
KABONGO,"15,007","7,422","7,584"
KAPLELACH,"10,206","5,077","5,129"
PIONEER,"127,167","64,166","62,998"
LANGAS,"127,167","64,166","62,998"
SIMAT,"17,544","8,731","8,813"
SIMAT,"17,544","8,731","8,813"
KESSES,"148,798","74,301","74,493"
KESSES,"148,705","74,236","74,465"
CHEPTIRET,"12,119","6,015","6,104"
CHEPTIRET,"6,700","3,327","3,373"
MUGUNDOI,"5,419","2,688","2,731"
CHUIYAT,"7,444","3,700","3,744"
KOISAGAT,"7,444","3,700","3,744"
KAPKOI,"5,935","2,986","2,948"
EMKWEN,"2,861","1,457","1,404"
KAPTUMO,"3,074","1,529","1,544"
KESSES,"21,697","10,796","10,901"
KESSES,"21,697","10,796","10,901"
KIPCHAMO,"25,722","12,786","12,935"
LENGUT,"4,668","2,284","2,384"
SAROIYOT,"21,054","10,502","10,551"
MEGUN,"14,710","7,386","7,324"
MEGUN,"5,320","2,638","2,682"
NDUBENETI,"4,609","2,386","2,223"
SONGOLIET,"4,781","2,362","2,419"
OLLEINGUSE,"18,992","9,428","9,562"
LAINGUSE,"18,992","9,428","9,562"
TARAKWA,"19,202","9,574","9,628"
LINGWAI,"6,526","3,258","3,268"
TARAKWA,"12,676","6,316","6,360"
TIMBOROA,"15,027","7,644","7,383"
CHEGAIYA,"8,036","4,080","3,956"
KIPKURERE,"6,991","3,564","3,427"
TULWET,"7,857","3,921","3,936"
TULWET,"7,857","3,921","3,936"
LORENGE FOREST,93,65,28
LORENGE FOREST,93,65,28
LORENGE FOREST,93,65,28
MOIBEN,"181,338","90,309","91,027"
MOIBEN,"181,338","90,309","91,027"
CHEPKOILEL,"66,878","33,060","33,817"
KIMUMU,"23,447","11,319","12,128"
SIGOT,"43,431","21,741","21,689"
KAPLOLO,"8,066","4,111","3,955"
CHEPLASKEI,"2,617","1,335","1,282"
USWO,"2,584","1,312","1,272"
KAPLOLO,"2,865","1,464","1,401"
KARUNA,"10,245","5,139","5,105"
KAPSUBERE,"3,040","1,549","1,491"
SOSIO,"7,205","3,590","3,614"
KIMONING,"12,245","6,053","6,192"
CHEBURBUR,"5,184","2,540","2,644"
KAMAUA,"3,409","1,659","1,750"
KIMONING,"3,652","1,854","1,798"
KOITOROR,"12,626","6,333","6,293"
KAPTUKTUK,"6,549","3,206","3,343"
TUIYOLUK,"6,077","3,127","2,950"
MEIBEKI,"15,409","7,815","7,594"
KAPSILIOT,"5,792","2,942","2,850"
MEIBEKI,"9,617","4,873","4,744"
MOIBEN,"15,823","7,940","7,883"
MOIBEN,"9,157","4,591","4,566"
TOLOITA,"6,666","3,349","3,317"
MUMETET,"8,789","4,277","4,512"
MEREWET,"4,696","2,262","2,434"
TOROCHMOI,"4,093","2,015","2,078"
SERGOIT,"23,253","11,613","11,640"
CHEPKOILEL,"7,995","4,027","3,968"
KELJI,"7,307","3,634","3,673"
SERGOIT,"7,951","3,952","3,999"
TEMBELIO,"8,004","3,968","4,036"
ELGEYO BORDER,"5,554","2,773","2,781"
KAPKEI,"2,450","1,195","1,255"
SOY,"229,094","114,082","115,007"
SOY,"229,094","114,082","115,007"
BARSOMBE,"10,725","5,321","5,404"
BARSOMBE,"10,725","5,321","5,404"
KAPSANG,"7,807","3,827","3,980"
KAPSANG,"7,807","3,827","3,980"
KIBULGENY,"26,570","13,945","12,622"
KAMUKUNJI,"26,570","13,945","12,622"
KIPSOMBA,"24,081","12,000","12,081"
KIPSOMBA,"14,448","7,194","7,254"
MOBET,"9,633","4,806","4,827"
KOISAGAT,"13,821","6,800","7,021"
KOISAGAT,"5,240","2,577","2,663"
LOLKINYEI,"8,581","4,223","4,358"
KONGASIS,"11,195","5,624","5,571"
KONGASIS,"11,195","5,624","5,571"
KUINET,"20,423","9,976","10,447"
KUINET,"20,423","9,976","10,447"
MATUNDA,"23,003","11,293","11,709"
KAPKURES,"11,682","5,712","5,969"
MATUNDA,"11,321","5,581","5,740"
MOI'S BRIDGE,"35,515","17,558","17,957"
JABALI,"14,434","7,266","7,168"
MOI'S BRIDGE,"21,081","10,292","10,789"
SEGERO,"15,004","7,459","7,545"
KAPNGETUNY,"7,152","3,565","3,587"
SEGERO,"7,852","3,894","3,958"
SIRIKWA,"8,799","4,276","4,523"
LEGEBET,"3,770","1,837","1,933"
SIRIKWA,"5,029","2,439","2,590"
SOY,"18,531","9,295","9,235"
SINONIN,"5,360","2,700","2,660"
SOY,"13,171","6,595","6,575"
ZIWA,"13,620","6,708","6,912"
KEROTET,"7,033","3,448","3,585"
ZIWA,"6,587","3,260","3,327"
TURBO,"267,273","133,579","133,682"
TURBO,"267,273","133,579","133,682"
CHEPSAITA,"15,137","7,245","7,890"
CHEPSAITA,"15,137","7,245","7,890"
KAMAGUT,"19,079","9,268","9,811"
SAMBUT,"19,079","9,268","9,811"
KAPTEBEE,"9,474","4,608","4,865"
KAPTEBEE,"9,474","4,608","4,865"
KAPYEMIT,"91,411","46,119","45,286"
HURUMA,"48,796","25,167","23,625"
KAPSAOS,"42,615","20,952","21,661"
KIBULGENY,"40,682","19,771","20,910"
KILIMANI,"40,682","19,771","20,910"
KIPLOMBE,"24,822","13,693","11,129"
KIPLOMBE,"24,822","13,693","11,129"
LESERU,"9,935","4,964","4,971"
CHEMALAL,"4,881","2,416","2,465"
LESERU,"5,054","2,548","2,506"
NGENYILEL,"23,558","11,519","12,038"
MURGUSI,"7,248","3,548","3,699"
OSORONGAI,"16,310","7,971","8,339"
SOSIANI,"8,019","3,979","4,040"
SOSIANI,"8,019","3,979","4,040"
SUGOI,"14,727","7,300","7,427"
KAPKONG,"7,564","3,739","3,825"
KOSACHEI,"7,163","3,561","3,602"
TAPSAGOI,"10,429","5,113","5,315"
TAPSAGOI,"4,877","2,426","2,450"
TURBO,"5,552","2,687","2,865"
ELGEYO/MARAKWET,"454,480","227,317","227,151"
KEIYO NORTH,"99,176","49,601","49,574"
KAMARINY,"49,569","24,519","25,050"
CHEBAROR,"8,281","4,023","4,258"
CHEBOKOKWA,"2,142","1,016","1,126"
KAPKESSUM,"2,021","1,040",981
MINDILILWO,"4,118","1,967","2,151"
IRONG,"20,446","9,974","10,472"
ITEN TOWNSHIP,"9,176","4,453","4,723"
KATALEL,"5,200","2,529","2,671"
KIPTABUS,"6,070","2,992","3,078"
KAMOGICH,"11,210","5,717","5,493"
ANIN,"3,366","1,756","1,610"
